Starting to collect Vector measurements
Timer: Vector measurements completed in 637.384 (seconds)

Starting to collect Doubly Linked List measurements
Timer: Doubly Linked List measurements completed in 293.792 (seconds)

Starting to collect Singly Linked List measurements
Timer: Singly Linked List measurements completed in 479.082 (seconds)

Starting to collect Binary Search Tree measurements
Timer: Binary Search Tree measurements completed in 0.535571 (seconds)

Starting to collect Hash Table measurements
Timer: Hash Table measurements completed in 0.293831 (seconds)
Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
16000	32	19	0	0	0	0	0	212722	1	0	0	37357	0	36129	0	209621	7	132307	0	94399	208420
16250	50	0	0	0	2	0	0	214407	0	0	0	38045	2	36246	0	212338	673	137309	0	95929	211365
16500	39	0	0	0	0	0	0	222320	0	0	0	38209	0	36848	0	217134	6	136719	0	99715	218071
16750	38	12	0	0	0	0	0	221118	10	0	0	38988	0	44201	0	227262	7	138392	0	99721	217557
17000	37	0	0	0	0	0	0	228548	0	11	0	40162	1	41190	0	223491	7	139716	0	104576	222402
17250	50	0	0	0	18	0	0	226829	0	0	0	39936	0	39028	0	226503	6	141285	0	104179	223971
17500	35	0	0	0	2	0	0	231103	0	0	0	40741	0	42075	0	230100	8	144061	0	105069	229224
17750	40	2	0	16	0	0	0	233111	0	0	0	42146	9	40926	0	236828	6	145885	0	108529	231622
18000	39	43	0	0	0	0	0	239668	0	0	0	43293	0	41003	0	238176	7	150127	0	109830	234442
18250	49	1	0	0	0	0	0	242082	0	0	0	42786	0	40429	0	240353	19	150120	0	111427	238016
18500	40	4	1	0	2	0	0	243416	9	0	0	42842	0	40823	0	243127	6	151729	0	115588	241246
18750	63	1	0	0	17	0	0	251619	0	0	0	48674	1	43074	0	251157	7	153062	0	119729	244223
19000	35	1	88	0	0	0	0	252461	0	0	0	44973	1	42541	0	251140	7	155496	0	121330	247751
19250	44	9	0	0	3	0	0	255193	1	0	0	44946	1	42219	0	253911	7	158196	0	123980	257753
19500	39	0	0	0	0	0	0	262491	0	12	0	45463	0	43206	0	258775	6	161346	0	128562	257426
19750	596	0	0	0	0	0	0	260156	1	0	0	46080	0	43484	0	264352	8	164344	0	130976	257376
20000	167	1	0	0	0	0	0	267857	1	0	0	46408	1	45196	0	264556	6	164549	0	127885	260361
20250	51	18	0	0	0	0	0	267041	14	13	0	47443	10	44908	0	265993	6	165529	0	135938	263853
20500	116	40	0	0	0	0	0	272750	0	0	0	55315	1	45022	0	270572	8	167554	0	140680	268146
20750	59	0	0	9	0	0	8	274615	0	0	0	50432	0	47198	0	280035	8	170785	0	154858	271663
21000	126	1	18	0	0	0	0	285238	1	0	0	50137	0	51582	0	275675	9	175295	0	155341	272682
21250	79	0	0	0	0	16	0	281030	1	0	0	50947	0	52571	0	278686	6	176092	0	156630	280981
21500	55	10	0	0	0	0	0	286284	1	0	0	50994	0	53313	14	288396	6	176330	0	147126	281745
21750	52	19	0	0	0	0	0	288514	9	0	0	51094	0	48733	0	290959	8	178571	9	140944	283278
22000	43	0	0	0	0	0	0	291233	0	12	0	51436	0	54286	0	289493	6	179522	0	142135	284171
22250	78	1	0	0	0	0	0	293633	0	0	0	52628	0	54942	0	292770	7	183343	0	144482	288989
22500	50	4	0	0	9	0	0	296010	1	1	0	52777	0	55063	0	302287	7	188245	0	148808	296410
22750	48	58	0	0	1	0	0	304322	0	0	0	53630	0	57387	0	297873	7	188838	0	154087	301727
23000	54	2	0	0	2	40	0	302861	0	0	0	56532	1	53293	0	303304	6	187292	0	150955	300475
23250	66	4	0	0	0	8	0	306569	0	0	0	55049	0	51955	0	312086	9	189029	0	153719	305359
23500	44	0	0	23	1	0	0	313803	10	0	0	55157	0	51931	0	310599	7	191758	0	156312	304668
23750	48	1	0	0	0	0	0	315178	0	0	0	63477	0	52504	0	311369	16	205876	0	159677	307056
24000	46	12	0	0	1	0	0	321754	0	0	0	58470	0	54783	0	321275	34	224515	17	162341	313318
24250	73	3	0	0	1	0	0	324539	2	0	0	56982	0	55042	0	321887	6	283921	0	161282	315730
24500	43	2	0	0	0	0	0	324713	0	12	0	57796	2	61204	0	322315	7	199239	0	168476	319219
24750	47	1	0	0	0	0	0	328219	0	0	0	58923	1	61263	0	327700	7	202143	0	166852	325407
25000	53	3	0	0	1	0	0	333777	11	0	0	59889	1	61586	0	339945	6	208395	0	167315	344688
25250	50	3	0	0	0	0	14	334381	2	0	0	64688	9	62640	0	331221	7	206234	0	171707	422733
25500	45	2	0	0	0	0	0	341454	0	0	0	61051	1	63430	0	339285	7	211968	0	174430	335497
25750	49	2	0	0	0	0	0	344032	1	19	0	62457	1	62393	0	342694	9	210204	0	173139	334321
26000	66	0	0	0	0	0	0	342646	1	0	0	61955	0	58176	0	342002	6	213734	0	181220	336880
26250	44	3	1	0	1	0	0	346922	0	0	0	62146	0	58736	0	350006	8	215721	0	178962	344189
26500	42	22	0	0	1	0	0	353913	0	0	0	63857	1	65111	0	351844	7	215969	0	179849	344654
26750	43	23	0	0	2	0	0	352880	9	0	0	63043	0	60782	0	351734	7	217877	0	188314	347972
27000	109	3	0	0	0	0	0	360164	1	11	0	65492	0	68698	0	363070	7	220239	0	183315	353935
27250	48	5	13	0	0	0	0	365068	0	0	0	66242	0	68260	8	359420	6	225150	0	186197	353059
27500	81	17	0	0	1	0	0	363758	0	0	0	64927	0	61879	0	362873	8	225340	0	188750	356714
27750	135	1	13	0	1	0	8	366524	1	0	0	67028	1	61949	0	370400	6	230345	0	190430	366614
28000	232	0	0	0	0	0	0	374101	1	0	0	66575	9	65804	0	368397	6	228511	0	195129	392405
28250	85	4	0	0	0	0	0	376493	11	0	0	67593	0	63154	0	373564	10	230223	0	194920	369889
28500	114	19	9	0	1	0	0	378231	3	0	0	68142	0	64052	0	380193	6	238945	0	200892	373263
28750	102	3	0	8	0	0	0	381536	2	0	0	71480	1	69015	0	378331	7	235107	0	198519	377031
29000	108	2	0	36	0	0	0	383871	22	0	24	76889	0	72789	0	393816	7	236029	0	201179	378245
29250	160	1	0	0	1	0	0	394215	2	0	0	71779	3	72533	0	386069	7	250100	0	208499	380859
29500	77	2	0	0	2	0	0	396081	0	0	0	72209	1	73737	0	388945	16	246268	0	205553	383113
29750	72	15	0	0	1	0	0	395475	10	0	0	71384	2	73815	0	396674	7	247636	0	205851	391527
30000	92	3	0	0	0	0	0	397772	0	0	0	72033	0	68288	0	393624	7	244282	0	208877	390959
30250	70	2	0	17	10	0	0	399292	0	0	0	73016	1	71033	0	403018	6	247462	0	210565	399318
30500	53	1	0	0	0	26	0	407270	2008	0	0	74350	21	74363	0	403426	8	252585	0	218660	395555
